latitude,longitude,rainfall_interpolated,elevation_m,soildepth_m,drainage,permeability,ph,lat_round,lon_round,nearest_rainfall_distance_km,nitrogen_interpolated,nitrogen_distance_km,tmax_interpolated,tmin_interpolated
-35.8908462524,148.3469848633,337.6320119664801,630.0,2.53,5.0,4.0,5.52,-35.89,148.35,6.572559379183281,0.5135795318023029,14.158033786175263,16.884983390697638,4.191275553384927
-35.607383728,148.2540588379,266.9136828993302,630.0,2.22,4.0,3.0,5.52,-35.61,148.25,30.41399845942496,0.3542644155380259,8.52658728744186,19.73677849173744,6.206802128676177
-35.1859817505,147.4985046387,138.50122286711508,630.0,2.0,4.0,3.0,5.52,-35.19,147.5,5.156016982463785,0.2099482730721554,54.62905752276402,23.013020307082122,9.319157962966491
-35.6278533936,148.1390991211,258.44598787026894,630.0,3.81,5.0,3.0,5.76,-35.63,148.14,17.93144120184489,0.3420048533015412,21.23325616419144,16.19381842835151,5.323716453265522
-35.8483276367,148.3292236328,313.87004037646614,630.0,1.85,5.0,3.0,6.0,-35.85,148.33,11.632281878504608,0.4840999053621881,15.291268883002669,18.17965331744831,4.8944287918234135
-35.9234619141,148.3145599365,328.45861319966383,630.0,1.06,5.0,4.0,6.0,-35.92,148.31,7.492220600489532,0.5116594702852187,18.8982558413578,17.182115143978603,4.355931310710352
-35.6214981079,148.1438598633,259.1643261739084,630.0,2.01,5.0,3.0,6.166666666666667,-35.62,148.14,18.7482401517734,0.3423465906906088,20.68031020694319,16.3016991034068,5.370198001424827
-35.7975845337,148.2983551025,295.79683776781235,630.0,1.82,5.0,3.0,6.333333333333333,-35.8,148.3,17.373134079057234,0.2335035627940836,17.438821598251863,17.23463481281108,4.526338705819893
-35.7903175354,148.2219238281,280.0617990086995,630.0,1.6,5.0,3.0,6.5,-35.79,148.22,13.033806229144922,0.3381695002814942,21.78082643815035,16.46224953072458,4.637131913163772
-35.713684082,148.1712188721,264.41426304254384,630.0,2.6,6.0,4.0,5.883333333333334,-35.71,148.17,19.009693759624504,0.3393552785824793,20.50811527271296,15.763534138381718,4.736599161946238
-35.6215438843,148.2040557861,263.35211814662387,630.0,3.01,6.0,4.0,5.266666666666667,-35.62,148.2,24.686771389437663,0.3460568110410786,14.000433650915674,17.009842744318185,5.106274677222517
-35.654384613,148.1232910156,255.74037227702428,630.0,1.5,5.0,3.0,4.65,-35.65,148.12,15.013235560247114,0.3407956897709293,23.312127271197056,15.984122437700062,5.232126530714088
-34.8717079163,147.1107940674,140.659285917631,630.0,1.6,3.0,2.0,5.4,-34.87,147.11,14.716742222051533,0.1790056535679563,81.43024566763974,23.199454480988884,9.873784177862971
-35.7789802551,148.2503662109,284.4784322302054,630.0,2.85,2.0,2.0,4.01,-35.78,148.25,15.53888293992747,0.3370702518753484,18.76448516410192,16.577632158335526,4.519413897655023
-35.7343215942,148.1644439697,264.3863344202884,630.0,2.83,5.0,3.0,3.983333333333333,-35.73,148.16,17.87736121312692,0.3384024112490101,22.29040853398782,15.945436149557231,4.8285354672397345
-35.7072486877,148.1295166016,257.3189313163067,630.0,0.48,5.0,4.0,3.9566666666666666,-35.71,148.13,14.379586161339905,0.3392541320043041,24.37245315209703,16.332014463861025,5.20311404067549
-35.0422744751,147.4548339844,134.2968794098791,630.0,2.0,4.0,3.0,3.93,-35.04,147.45,12.935301700991836,0.2252929570612911,66.90246947299613,23.195926166909462,9.605774828478067
-35.633480072,148.1361541748,257.95571301575086,630.0,4.0,5.0,3.0,4.13,-35.63,148.14,17.336358914164634,0.341755665638938,21.600376838009176,16.114820098778786,5.285504716430449
-35.75188068,147.32945742,184.30294295245832,630.0,1.6,3.0,2.0,4.5,-35.75,147.33,47.54923097269878,0.2699999958273069,0.0,21.63930990071414,8.675226069425811
-35.8058891296,148.3273162842,303.2337893177766,630.0,3.0,6.0,4.0,5.5,-35.81,148.33,15.993747864997898,0.417024027149094,15.75125576009304,18.297867891476614,5.0086093964665235
-35.625,148.0841674805,251.21343845806092,630.0,2.68,6.0,4.0,5.22,-35.62,148.08,13.277922246232976,0.3403480638626656,27.31356181096859,17.279570261911594,5.953135984895535
-35.6226921082,148.196472168,262.6603822651907,630.0,1.41,6.0,4.0,4.94,-35.62,148.2,23.864736894781533,0.3453681099364055,14.845818293990002,16.006832749659527,4.859311801796964
-35.6226921082,148.196472168,262.6603822651907,630.0,3.04,5.0,4.0,4.66,-35.62,148.2,23.864736894781533,0.3453681099364055,14.845818293990002,16.006832749659527,4.859311801796964
-34.467918396,147.4715118408,165.2664124018816,630.0,1.0,5.0,3.0,4.38,-34.47,147.47,5.997229593586152,0.1362584416528539,57.37810987903597,23.1568707001188,9.177007678864232
-35.6747932434,148.2028961182,265.24531280926755,630.0,0.78,5.0,4.0,4.416666666666667,-35.67,148.2,22.85801050832204,0.3422855930555918,15.466223420465182,16.234310534577332,4.709756658381243
-35.6526222229,148.2173461914,265.85673343662063,630.0,0.93,5.0,4.0,4.453333333333333,-35.65,148.22,24.951944826389937,0.3448973539055717,13.095920109518694,16.349937191999114,4.810697534669226
-35.9320678711,148.2809295654,309.0356574364226,630.0,3.0,5.0,3.0,4.49,-35.93,148.28,11.03200944235274,0.5105109387422246,22.68023388866123,18.18458896359996,4.932504248400527
-35.6538085938,148.1785736084,261.53971494465543,630.0,4.21,5.0,3.0,5.245,-35.65,148.18,20.779842671680257,0.3427350019287753,17.2863577735602,15.570841299385268,4.65992383752882
-35.1780319214,147.4996948242,138.06894820759518,630.0,0.8,4.0,3.0,6.0,-35.18,147.5,4.839433570514755,0.2099351869937613,55.51314303771783,23.03321177004825,9.331645609216087
-35.830280304,148.2972259521,300.39805025714463,630.0,2.81,5.0,3.0,6.0,-35.83,148.3,15.139504753683656,0.423577207998541,18.94066203190719,16.85174295580512,4.404216668375729
-35.8931121826,148.2220001221,279.98456087920863,630.0,1.3,6.0,2.0,6.0,-35.89,148.22,4.724288687504544,0.4549891856482778,27.658073800942827,18.64533267109963,5.302975338332076
-35.6761207581,148.1202850342,255.084883702432,630.0,1.61,6.0,4.0,5.234999999999999,-35.68,148.12,13.871133324210696,0.34010385805742,24.170069363334385,16.03704970623914,5.251416553851204
-35.6676330566,148.2341766357,268.42747453813666,630.0,3.0,6.0,4.0,4.47,-35.67,148.23,26.415587412300177,0.3440853387391228,11.991416978158478,16.641582000338097,4.807113894567105
